SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0141.93.03.00002415;460.0900;459.31;3718;341;21/02/2011
0123.93.03.00000578;1422.0300;1422.02;3731;342;22/02/2011
0126.93.03.00000809;8264.7400;4132.37;3733;343;22/02/2011
0143.93.03.00001097;333.8200;3338.21;3739;344;22/02/2011
0153.93.03.00001188;6095.5200;6095.51;3747;345;11/08/2010
0126.93.03.00000821;3170.5600;2853.5;3754;346;15/10/2010
0133.93.03.00004155;4167.6400;4167.67;3761;347;17/09/2010
0153.93.03.00001190;6092.5900;3046.3;3772;348;22/02/2011
0129.93.03.00000466;2449.3200;2449.3;3785;349;22/02/2011
0141.93.03.00002416;2545.1200;2227.27;3789;350;22/02/2011
0143.93.03.00001093;6016.5700;6016.59;3792;351;22/02/2011
0143.93.03.00001100;36202.1100;36201.59;3797;352;23/02/2011
0129.93.03.00000469;6532.9000;8532.9;3803;353;23/02/2011
0133.93.03.00004178;12141.3300;13853.61;3807;354;15/10/2010
0141.93.03.00002432;387.9100;3879.14;3828;355;25/02/2011
0133.93.03.00004208;6942.9400;6942.92;3851;356;14/12/2010
0126.81.03.00000020;159.7900;1597.9;3859;357;01/03/2011
0133.93.03.00004213;804.0900;402.04;3861;358;01/03/2011
0135.93.03.00003057;4598.4400;4598.45;3881;359;04/02/2011
0152.93.03.00000258;29895.0500;29892.05;3893;360;10/01/2011
0133.93.03.00004237;14545.6700;14544.65;3895;361;08/01/2010
0133.93.03.00004239;15856.9100;15856.86;3910;362;27/01/2010
0153.93.03.00001218;2386.9400;2386.95;3929;363;18/03/2011
0143.93.03.00001124;15551.6600;15551.64;3939;364;21/03/2011
0133.93.03.00004267;12926.9900;12560.65;3954;365;21/03/2011
0133.93.03.00004288;19168.3700;19168.36;3986;366;23/03/2011
0135.93.03.00003096;3155.4300;3155.83;3989;367;17/03/2011
0133.93.03.00004303;4063.3500;4063.32;4000;368;24/03/2011
0133.93.03.00004301;22813.7000;91254.8;4011;369;24/03/2011
0135.93.03.00003100;28262.3900;18785.5;4016;370;14/10/2010
0153.93.03.00001238;3083.3400;3083.33;4030;371;01/04/2011
0133.93.03.00004333;14231.2300;14431.23;4032;372;01/04/2011
0151.93.03.00000148;6992.2000;5593.76;4034;373;08/04/2011
0131.93.03.00000960;1787.0700;1882.86;4057;374;19/04/2011
0133.93.03.00004355;10736.5900;10736.74;4059;375;19/04/2011
0142.93.03.00000378;4375.9100;4375.9;4062;376;03/07/2007
0153.93.03.00001249;3468.4800;2312.32;4072;377;19/04/2011
0153.93.03.00001256;5043.8600;6787.89;4089;378;29/10/2007
0129.93.03.00000495;1632.5500;1638.4;4105;379;19/04/2011
0141.93.03.00002487;80000.0000;40000;4108;380;16/10/2008
0133.93.03.00004354;7839.5300;7864.66;4115;381;19/04/2011
0129.93.03.00000497;1225.1500;1224.66;4119;382;19/04/2011
0132.93.03.00000294;8359.9400;8359.15;4121;383;19/04/2011
0135.93.03.00003147;2752.4400;2874.27;4135;384;19/02/2008
0135.93.03.00003139;1161.7900;1010.72;4152;385;22/02/2008
0133.93.03.00004369;9337.1900;9335.57;4157;386;20/04/2011
